filename,projectname,country,version,date,formatted_date,crc,release,file_size,full_path
KB105_DE_0.0.23.250819_9C4C_beta_Open.bin,KB105,DE,0.0.23,250819,2019-08-25,9C4C,beta,95712,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.23.250819_beta\DE\KB105_DE_0.0.23.250819_9C4C_beta_Open.bin
KB105_DE_0.0.24.250820_96EC_beta_Open.bin,KB105,DE,0.0.24,250820,2020-08-25,96EC,beta,95720,D:\Data\Document\ProductsLibrary\C线产品资料库\KB105_gray\固件\beta\KB105_0.0.24.250820_beta\DE\KB105_DE_0.0.24.250820_96EC_beta_Open.bin
KB403_11A_DE_0.0.3.250512_3ACF_beta_Open.bin,KB403_11A,DE,0.0.3,250512,2012-05-25,3ACF,beta,90472,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.0.3.250512_beta\DE\KB403_11A_DE_0.0.3.250512_3ACF_beta_Open.bin
KB403_11A_JP_0.0.3.250512_2106_beta_Open.bin,KB403_11A,JP,0.0.3,250512,2012-05-25,2106,beta,90308,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.0.3.250512_beta\JP\KB403_11A_JP_0.0.3.250512_2106_beta_Open.bin
KB403_11A_UK_0.0.3.250512_3B08_beta_Open.bin,KB403_11A,UK,0.0.3,250512,2012-05-25,3B08,beta,90472,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.0.3.250512_beta\UK\KB403_11A_UK_0.0.3.250512_3B08_beta_Open.bin
KB403_11A_US_0.0.3.250512_23CD_beta_Open.bin,KB403_11A,US,0.0.3,250512,2012-05-25,23CD,beta,90308,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.0.3.250512_beta\US\KB403_11A_US_0.0.3.250512_23CD_beta_Open.bin
KB403_11A_DE_0.1.5.250523_478_beta_Open.bin,KB403_11A,DE,0.1.5,250523,2023-05-25,478,beta,90168,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.5.250523_beta\DE\KB403_11A_DE_0.1.5.250523_478_beta_Open.bin
KB403_11A_JP_0.1.5.250523_A898_beta_Open.bin,KB403_11A,JP,0.1.5,250523,2023-05-25,A898,beta,90004,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.5.250523_beta\JP\KB403_11A_JP_0.1.5.250523_A898_beta_Open.bin
KB403_11A_UK_0.1.5.250523_4B1_beta_Open.bin,KB403_11A,UK,0.1.5,250523,2023-05-25,4B1,beta,90168,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.5.250523_beta\UK\KB403_11A_UK_0.1.5.250523_4B1_beta_Open.bin
KB403_11A_US_0.1.5.250523_AA3D_beta_Open.bin,KB403_11A,US,0.1.5,250523,2023-05-25,AA3D,beta,90004,D:\Data\Document\ProductsLibrary\C线产品资料库\KB403-11A_black\固件\beta\KB403_11A_0.1.5.250523_beta\US\KB403_11A_US_0.1.5.250523_AA3D_beta_Open.bin
