scan_time分析报告 - baseus-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
307	20:10:01.051	5700		150.0
308	20:10:01.066	5850		150.0
309	20:10:01.081	6000		150.0
310	20:10:01.096	6150		150.0
311	20:10:01.110	6300		150.0
312	20:10:01.138	6450		150.0
313	20:10:01.156	6600		150.0
314	20:10:01.171	6750		150.0
315	20:10:01.186	6900		150.0
316	20:10:01.201	7050		150.0
317	20:10:01.214	7200		150.0
318	20:10:01.231	7350		150.0
319	20:10:01.246	7500		150.0
320	20:10:01.261	7650		150.0
321	20:10:01.276	7800		150.0
322	20:10:01.306	7950		150.0
323	20:10:01.320	8100		150.0
324	20:10:01.336	8250		150.0
325	20:10:01.351	8400		150.0
326	20:10:01.366	8550		150.0
327	20:10:01.381	8700		150.0
328	20:10:01.396	8850		150.0
329	20:10:01.411	9000		150.0
330	20:10:01.425	9150		150.0
331	20:10:01.453	9300		150.0
332	20:10:01.471	9450		150.0
333	20:10:01.486	9600		150.0
334	20:10:01.501	9750		150.0
335	20:10:01.516	9900		150.0
336	20:10:01.531	10050		150.0
337	20:10:01.546	10200		150.0
338	20:10:01.562	10350		150.0
339	20:10:01.576	10500		150.0
340	20:10:01.606	10650		150.0
341	20:10:01.621	10800		150.0
342	20:10:01.636	10950		150.0
343	20:10:01.651	11100		150.0
344	20:10:01.666	11250		150.0
345	20:10:01.681	11400		150.0
346	20:10:01.696	11550		150.0
347	20:10:01.711	11700		150.0
348	20:10:01.725	11850		150.0
349	20:10:01.741	12000		150.0
350	20:10:01.771	12150		150.0
351	20:10:01.801	12300		150.0
352	20:10:01.816	12450		150.0
353	20:10:01.829	12600		150.0
354	20:10:01.846	12750		150.0
355	20:10:01.861	12900		150.0
356	20:10:01.876	13050		150.0
357	20:10:01.891	13200		150.0
358	20:10:01.906	13350		150.0
359	20:10:01.921	13500		150.0
360	20:10:01.935	13650		150.0
361	20:10:01.951	13800		150.0
362	20:10:01.981	13950		150.0
363	20:10:01.996	14100		150.0
364	20:10:02.011	14250		150.0
365	20:10:02.026	14400		150.0
366	20:10:02.041	14550		150.0
367	20:10:02.056	14700		150.0
368	20:10:02.071	14850		150.0
369	20:10:02.085	15000		150.0
370	20:10:02.101	15150		150.0
371	20:10:02.115	15300		150.0
372	20:10:02.131	15450		150.0
373	20:10:02.146	15600		150.0
374	20:10:02.176	15750		150.0
375	20:10:02.191	15900		150.0
376	20:10:02.206	16050		150.0
377	20:10:02.221	16200		150.0
378	20:10:02.236	16350		150.0
379	20:10:02.251	16500		150.0
380	20:10:02.266	16650		150.0
381	20:10:02.281	16800		150.0
382	20:10:02.324	16950		150.0
