scan_time分析报告 - baseus-主板固定60Hz发送3.txt
==================================================

基本统计信息:
  总数据包数: 1504
  有效scan_time数: 1504
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 159.68
  递增值标准差: 407.54
  最小递增值: 0
  最大递增值: 15950

重置分析:
  检测到重置次数: 12
  重置点位置: [29, 163, 297, 431, 565, 699, 833, 967, 1101, 1235]...
  平均重置间隔: 115.7 包/次

一致性评估:
  一致性评分: 0.002 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
214	20:14:22.289	7500		150.0
215	20:14:22.304	7650		150.0
216	20:14:22.319	7800		150.0
217	20:14:22.332	7950		150.0
218	20:14:22.350	8100		150.0
219	20:14:22.379	8250		150.0
220	20:14:22.394	8400		150.0
221	20:14:22.409	8550		150.0
222	20:14:22.424	8700		150.0
223	20:14:22.437	8850		150.0
224	20:14:22.454	9000		150.0
225	20:14:22.469	9150		150.0
226	20:14:22.484	9300		150.0
227	20:14:22.514	9450		150.0
228	20:14:22.529	9600		150.0
229	20:14:22.543	9750		150.0
230	20:14:22.559	9900		150.0
231	20:14:22.574	10050		150.0
232	20:14:22.589	10200		150.0
233	20:14:22.604	10350		150.0
234	20:14:22.619	10500		150.0
235	20:14:22.634	10650		150.0
236	20:14:22.648	10800		150.0
237	20:14:22.676	10950		150.0
238	20:14:22.694	11100		150.0
239	20:14:22.709	11250		150.0
240	20:14:22.724	11400		150.0
241	20:14:22.739	11550		150.0
242	20:14:22.754	11700		150.0
243	20:14:22.769	11850		150.0
244	20:14:22.784	12000		150.0
245	20:14:22.799	12150		150.0
246	20:14:22.814	12300		150.0
247	20:14:22.844	12450		150.0
248	20:14:22.859	12600		150.0
249	20:14:22.874	12750		150.0
250	20:14:22.889	12900		150.0
251	20:14:22.919	13050		150.0
252	20:14:22.934	13200		150.0
253	20:14:22.947	13350		150.0
254	20:14:22.964	13500		150.0
255	20:14:22.979	13650		150.0
256	20:14:22.994	13800		150.0
257	20:14:23.009	13950		150.0
258	20:14:23.024	14100		150.0
259	20:14:23.039	14250		150.0
260	20:14:23.052	14400		150.0
261	20:14:23.069	14550		150.0
262	20:14:23.084	14700		150.0
263	20:14:23.099	14850		150.0
264	20:14:23.114	15000		150.0
265	20:14:23.144	15150		150.0
266	20:14:23.159	15300		150.0
267	20:14:23.174	15450		150.0
268	20:14:23.189	15600		150.0
269	20:14:23.204	15750		150.0
270	20:14:23.219	15900		150.0
271	20:14:23.234	16050		150.0
272	20:14:23.249	16200		150.0
273	20:14:23.264	16350		150.0
274	20:14:23.279	16500		150.0
275	20:14:23.309	16650		150.0
276	20:14:23.324	16800		150.0
277	20:14:23.339	16950		150.0
278	20:14:23.354	17100		150.0
279	20:14:23.369	17250		150.0
280	20:14:23.384	17400		150.0
281	20:14:23.399	17550		150.0
282	20:14:23.414	17700		150.0
283	20:14:23.429	17850		150.0
284	20:14:23.458	18000		150.0
285	20:14:23.474	18150		150.0
286	20:14:23.489	18300		150.0
287	20:14:23.504	18450		150.0
288	20:14:23.532	18600		150.0
289	20:14:23.549	18750		150.0
290	20:14:23.562	18900		150.0
291	20:14:23.579	19050		150.0
292	20:14:23.594	19200		150.0
293	20:14:23.609	19350		150.0
294	20:14:23.624	19500		150.0
295	20:14:23.639	19650		150.0
296	20:14:23.654	19800		150.0
297	20:14:23.668	19950		150.0
298	20:14:23.684	0		50.0
299	20:14:23.699	150		150.0
300	20:14:23.714	300		150.0
301	20:14:23.729	450		150.0
302	20:14:23.744	600		150.0
303	20:14:23.774	750		150.0
304	20:14:23.789	900		150.0
305	20:14:23.804	1050		150.0
306	20:14:23.819	1200		150.0
307	20:14:23.834	1350		150.0
308	20:14:23.849	1500		150.0
309	20:14:23.864	1650		150.0
310	20:14:23.879	1800		150.0
311	20:14:23.894	1950		150.0
312	20:14:23.924	2100		150.0
313	20:14:23.939	2250		150.0
314	20:14:23.954	2400		150.0
315	20:14:23.969	2550		150.0
