scan_time分析报告 - KB04122-主板固定60Hz发送5.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
298	19:56:33.047	4350		150.0
299	19:56:33.062	4500		150.0
300	19:56:33.093	4650		150.0
301	19:56:33.108	4800		150.0
302	19:56:33.122	4950		150.0
303	19:56:33.137	5100		150.0
304	19:56:33.152	5250		150.0
305	19:56:33.167	5400		150.0
306	19:56:33.181	5550		150.0
307	19:56:33.197	5700		150.0
308	19:56:33.211	5850		150.0
309	19:56:33.240	6000		150.0
310	19:56:33.257	6150		150.0
311	19:56:33.272	6300		150.0
312	19:56:33.286	6450		150.0
313	19:56:33.302	6600		150.0
314	19:56:33.317	6750		150.0
315	19:56:33.332	6900		150.0
316	19:56:33.347	7050		150.0
317	19:56:33.362	7200		150.0
318	19:56:33.393	7350		150.0
319	19:56:33.408	7500		150.0
320	19:56:33.422	7650		150.0
321	19:56:33.437	7800		150.0
322	19:56:33.452	7950		150.0
323	19:56:33.467	8100		150.0
324	19:56:33.482	8250		150.0
325	19:56:33.497	8400		150.0
326	19:56:33.512	8550		150.0
327	19:56:33.527	8700		150.0
328	19:56:33.557	8850		150.0
329	19:56:33.572	9000		150.0
330	19:56:33.586	9150		150.0
331	19:56:33.602	9300		150.0
332	19:56:33.617	9450		150.0
333	19:56:33.632	9600		150.0
334	19:56:33.647	9750		150.0
335	19:56:33.662	9900		150.0
336	19:56:33.677	10050		150.0
337	19:56:33.708	10200		150.0
338	19:56:33.722	10350		150.0
339	19:56:33.737	10500		150.0
340	19:56:33.752	10650		150.0
341	19:56:33.767	10800		150.0
342	19:56:33.782	10950		150.0
343	19:56:33.796	11100		150.0
344	19:56:33.812	11250		150.0
345	19:56:33.827	11400		150.0
346	19:56:33.857	11550		150.0
347	19:56:33.872	11700		150.0
348	19:56:33.887	11850		150.0
349	19:56:33.901	12000		150.0
350	19:56:33.917	12150		150.0
351	19:56:33.932	12300		150.0
352	19:56:33.947	12450		150.0
353	19:56:33.962	12600		150.0
354	19:56:33.978	12750		150.0
