scan_time分析报告 - KB04122-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1447
  有效scan_time数: 1447
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [106, 240, 374, 508, 642, 776, 910, 1044, 1178, 1312]...
  平均重置间隔: 120.6 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
438	19:47:40.609	9450		150.0
439	19:47:40.624	9600		150.0
440	19:47:40.653	9750		150.0
441	19:47:40.669	9900		150.0
442	19:47:40.684	10050		150.0
443	19:47:40.699	10200		150.0
444	19:47:40.714	10350		150.0
445	19:47:40.729	10500		150.0
446	19:47:40.744	10650		150.0
447	19:47:40.759	10800		150.0
448	19:47:40.774	10950		150.0
449	19:47:40.803	11100		150.0
450	19:47:40.819	11250		150.0
451	19:47:40.834	11400		150.0
452	19:47:40.849	11550		150.0
453	19:47:40.864	11700		150.0
454	19:47:40.879	11850		150.0
455	19:47:40.894	12000		150.0
456	19:47:40.909	12150		150.0
457	19:47:40.924	12300		150.0
458	19:47:40.939	12450		150.0
459	19:47:40.968	12600		150.0
460	19:47:40.984	12750		150.0
461	19:47:40.999	12900		150.0
462	19:47:41.014	13050		150.0
463	19:47:41.029	13200		150.0
464	19:47:41.058	13350		150.0
465	19:47:41.074	13500		150.0
466	19:47:41.089	13650		150.0
467	19:47:41.104	13800		150.0
468	19:47:41.119	13950		150.0
469	19:47:41.134	14100		150.0
470	19:47:41.163	14250		150.0
471	19:47:41.179	14400		150.0
472	19:47:41.194	14550		150.0
473	19:47:41.209	14700		150.0
474	19:47:41.224	14850		150.0
475	19:47:41.239	15000		150.0
476	19:47:41.254	15150		150.0
477	19:47:41.269	15300		150.0
478	19:47:41.284	15450		150.0
479	19:47:41.299	15600		150.0
480	19:47:41.314	15750		150.0
481	19:47:41.344	15900		150.0
482	19:47:41.373	16050		150.0
483	19:47:41.391	16200		150.0
484	19:47:41.406	16350		150.0
485	19:47:41.419	16500		150.0
486	19:47:41.436	16650		150.0
487	19:47:41.451	16800		150.0
488	19:47:41.479	16950		150.0
489	19:47:41.494	17100		150.0
490	19:47:41.509	17250		150.0
491	19:47:41.524	17400		150.0
492	19:47:41.553	17550		150.0
493	19:47:41.569	17700		150.0
494	19:47:41.585	17850		150.0
495	19:47:41.585	18000		150.0
496	19:47:41.585	18150		150.0
497	19:47:41.599	18300		150.0
498	19:47:41.614	18450		150.0
499	19:47:41.629	18600		150.0
500	19:47:41.673	18750		150.0
501	19:47:41.689	18900		150.0
502	19:47:41.704	19050		150.0
503	19:47:41.719	19200		150.0
504	19:47:41.734	19350		150.0
505	19:47:41.749	19500		150.0
506	19:47:41.764	19650		150.0
507	19:47:41.779	19800		150.0
508	19:47:41.794	19950		150.0
509	19:47:41.809	0		150.0
510	19:47:41.824	150		150.0
511	19:47:41.839	300		150.0
512	19:47:41.854	450		150.0
513	19:47:41.869	600		150.0
514	19:47:41.884	750		150.0
515	19:47:41.899	900		150.0
516	19:47:41.914	1050		150.0
517	19:47:41.943	1200		150.0
518	19:47:41.959	1350		150.0
519	19:47:41.974	1500		150.0
520	19:47:41.989	1650		150.0
521	19:47:42.004	1800		150.0
522	19:47:42.019	1950		150.0
523	19:47:42.034	2100		150.0
524	19:47:42.049	2250		150.0
525	19:47:42.064	2400		150.0
526	19:47:42.079	2550		150.0
527	19:47:42.094	2700		150.0
528	19:47:42.123	2850		150.0
529	19:47:42.139	3000		150.0
530	19:47:42.154	3150		150.0
531	19:47:42.169	3300		150.0
532	19:47:42.199	3450		150.0
533	19:47:42.214	3600		150.0
534	19:47:42.229	3750		150.0
535	19:47:42.244	3900		150.0
536	19:47:42.259	4050		150.0
537	19:47:42.274	4200		150.0
538	19:47:42.289	4350		150.0
539	19:47:42.304	4500		150.0
540	19:47:42.319	4650		150.0
541	19:47:42.363	4800		150.0
542	19:47:42.379	4950		150.0
543	19:47:42.394	5100		150.0
544	19:47:42.409	5250		150.0
545	19:47:42.424	5400		150.0
546	19:47:42.454	5550		150.0
547	19:47:42.471	5700		150.0
548	19:47:42.486	5850		150.0
549	19:47:42.486	6000		150.0
550	19:47:42.486	6150		150.0
