scan_time分析报告 - beisi_check_66Hz.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
276	16:12:32.299	1050		150.0
277	16:12:32.313	1200		150.0
278	16:12:32.329	1350		150.0
279	16:12:32.344	1500		150.0
280	16:12:32.359	1650		150.0
281	16:12:32.374	1800		150.0
282	16:12:32.389	1950		150.0
283	16:12:32.404	2100		150.0
284	16:12:32.419	2250		150.0
285	16:12:32.434	2400		150.0
286	16:12:32.449	2550		150.0
287	16:12:32.464	2700		150.0
288	16:12:32.479	2850		150.0
289	16:12:32.494	3000		150.0
290	16:12:32.524	3150		150.0
291	16:12:32.539	3300		150.0
292	16:12:32.553	3450		150.0
293	16:12:32.554	3600		150.0
294	16:12:32.568	3750		150.0
295	16:12:32.569	3900		150.0
296	16:12:32.584	4050		150.0
297	16:12:32.599	4200		150.0
298	16:12:32.614	4350		150.0
299	16:12:32.629	4500		150.0
300	16:12:32.644	4650		150.0
301	16:12:32.659	4800		150.0
302	16:12:32.674	4950		150.0
303	16:12:32.689	5100		150.0
304	16:12:32.704	5250		150.0
305	16:12:32.719	5400		150.0
306	16:12:32.734	5550		150.0
307	16:12:32.749	5700		150.0
308	16:12:32.764	5850		150.0
309	16:12:32.779	6000		150.0
310	16:12:32.794	6150		150.0
311	16:12:32.809	6300		150.0
312	16:12:32.824	6450		150.0
313	16:12:32.839	6600		150.0
314	16:12:32.854	6750		150.0
315	16:12:32.869	6900		150.0
316	16:12:32.884	7050		150.0
317	16:12:32.914	7200		150.0
318	16:12:32.928	7350		150.0
319	16:12:32.929	7500		150.0
320	16:12:32.944	7650		150.0
321	16:12:32.959	7800		150.0
322	16:12:32.974	7950		150.0
323	16:12:32.989	8100		150.0
324	16:12:33.004	8250		150.0
325	16:12:33.019	8400		150.0
326	16:12:33.034	8550		150.0
327	16:12:33.049	8700		150.0
328	16:12:33.064	8850		150.0
329	16:12:33.079	9000		150.0
330	16:12:33.094	9150		150.0
331	16:12:33.109	9300		150.0
332	16:12:33.124	9450		150.0
333	16:12:33.139	9600		150.0
334	16:12:33.154	9750		150.0
335	16:12:33.169	9900		150.0
336	16:12:33.184	10050		150.0
