name,type,start_time,duration,"rom_command","data"
"1-Wire","reset",2025-09-04T08:22:05.926629750+00:00,0.014864417,,
"1-Wire","reset",2025-09-04T08:22:05.941559542+00:00,0.0149575,,
"1-Wire","reset",2025-09-04T08:22:05.956601625+00:00,0.0150675,,
"1-Wire","reset",2025-09-04T08:22:05.971753500+00:00,0.014831458,,
"1-Wire","reset",2025-09-04T08:22:05.986650333+00:00,0.014945458,,
"1-Wire","reset",2025-09-04T08:22:06.001670667+00:00,0.014949167,,
"1-Wire","reset",2025-09-04T08:22:06.016694667+00:00,0.014900792,,
"1-Wire","reset",2025-09-04T08:22:06.031670417+00:00,0.014898,,
"1-Wire","reset",2025-09-04T08:22:06.046652750+00:00,0.014996375,,
"1-Wire","reset",2025-09-04T08:22:06.061714542+00:00,0.014921792,,
"1-Wire","reset",2025-09-04T08:22:06.076711292+00:00,0.014924417,,
"1-Wire","reset",2025-09-04T08:22:06.091691583+00:00,0.014848167,,
"1-Wire","reset",2025-09-04T08:22:06.106614417+00:00,0.014860792,,
"1-Wire","reset",2025-09-04T08:22:06.121549583+00:00,0.014956333,,
"1-Wire","reset",2025-09-04T08:22:06.136589917+00:00,0.014930958,,
"1-Wire","reset",2025-09-04T08:22:06.151585917+00:00,0.0150495,,
"1-Wire","reset",2025-09-04T08:22:06.166710042+00:00,0.014915125,,
"1-Wire","reset",2025-09-04T08:22:06.181708833+00:00,0.014882375,,
"1-Wire","reset",2025-09-04T08:22:06.196674833+00:00,0.014657458,,
"1-Wire","reset",2025-09-04T08:22:06.211387958+00:00,0.015227125,,
"1-Wire","reset",2025-09-04T08:22:06.226652083+00:00,0.014933208,,
"1-Wire","reset",2025-09-04T08:22:06.241650792+00:00,0.003577125,,
"1-Wire","reset",2025-09-04T08:22:06.249474125+00:00,0.000842667,,
"1-Wire","reset",2025-09-04T08:22:06.250318375+00:00,0.004982708,,
"1-Wire","presence",2025-09-04T08:22:06.262567250+00:00,0.000241125,,
"1-Wire","invalid_rom_command",2025-09-04T08:22:06.262809958+00:00,0.004518583,0xE0,
"1-Wire","data",2025-09-04T08:22:06.267453375+00:00,0.000247292,,0x2F
"1-Wire","data",2025-09-04T08:22:06.267733250+00:00,0.000168958,,0x05
"1-Wire","data",2025-09-04T08:22:06.267922208+00:00,0.000165458,,0x82
"1-Wire","data",2025-09-04T08:22:06.268107458+00:00,0.000158833,,0x4A
"1-Wire","data",2025-09-04T08:22:06.268282667+00:00,0.000160333,,0x20
"1-Wire","data",2025-09-04T08:22:06.268470917+00:00,0.000195917,,0x10
"1-Wire","data",2025-09-04T08:22:06.268681542+00:00,0.000163958,,0xA5
"1-Wire","data",2025-09-04T08:22:06.268864792+00:00,0.000186542,,0x00
"1-Wire","data",2025-09-04T08:22:06.269077833+00:00,0.000191292,,0x08
"1-Wire","data",2025-09-04T08:22:06.269284708+00:00,0.000184458,,0x00
"1-Wire","reset",2025-09-04T08:22:06.270445708+00:00,0.001182083,,
"1-Wire","reset",2025-09-04T08:22:06.271683792+00:00,0.014896125,,
"1-Wire","reset",2025-09-04T08:22:06.286635917+00:00,0.014894292,,
"1-Wire","reset",2025-09-04T08:22:06.301605125+00:00,0.014998917,,
"1-Wire","reset",2025-09-04T08:22:06.316688500+00:00,0.014938958,,
"1-Wire","reset",2025-09-04T08:22:06.331673875+00:00,0.014982583,,
"1-Wire","reset",2025-09-04T08:22:06.346722083+00:00,0.0148985,,
"1-Wire","reset",2025-09-04T08:22:06.361686042+00:00,0.014821458,,
"1-Wire","reset",2025-09-04T08:22:06.376572500+00:00,0.015018708,,
"1-Wire","reset",2025-09-04T08:22:06.391665708+00:00,0.014949875,,
"1-Wire","reset",2025-09-04T08:22:06.406699208+00:00,0.0149065,,
"1-Wire","reset",2025-09-04T08:22:06.421680417+00:00,0.014895792,,
"1-Wire","reset",2025-09-04T08:22:06.436641708+00:00,0.01495075,,
"1-Wire","reset",2025-09-04T08:22:06.451648417+00:00,0.014944375,,
"1-Wire","reset",2025-09-04T08:22:06.466639292+00:00,0.014909625,,
"1-Wire","reset",2025-09-04T08:22:06.481614375+00:00,0.014957458,,
"1-Wire","reset",2025-09-04T08:22:06.496618250+00:00,0.014927333,,
"1-Wire","reset",2025-09-04T08:22:06.511582542+00:00,0.015012958,,
"1-Wire","reset",2025-09-04T08:22:06.526632458+00:00,0.014831292,,
"1-Wire","reset",2025-09-04T08:22:06.541548000+00:00,0.015034833,,
"1-Wire","reset",2025-09-04T08:22:06.556648250+00:00,0.014904042,,
"1-Wire","reset",2025-09-04T08:22:06.571626750+00:00,0.014941167,,
"1-Wire","reset",2025-09-04T08:22:06.586632917+00:00,0.014962625,,
"1-Wire","reset",2025-09-04T08:22:06.601669708+00:00,0.014810625,,
"1-Wire","reset",2025-09-04T08:22:06.616573667+00:00,0.014962125,,
"1-Wire","reset",2025-09-04T08:22:06.631619458+00:00,0.014919167,,
"1-Wire","reset",2025-09-04T08:22:06.646622583+00:00,0.014885958,,
"1-Wire","reset",2025-09-04T08:22:06.661583583+00:00,0.015045583,,
"1-Wire","reset",2025-09-04T08:22:06.676694708+00:00,0.014886875,,
"1-Wire","reset",2025-09-04T08:22:06.691647042+00:00,0.014929542,,
"1-Wire","reset",2025-09-04T08:22:06.706623042+00:00,0.01496975,,
"1-Wire","reset",2025-09-04T08:22:06.721639250+00:00,0.014916208,,
"1-Wire","reset",2025-09-04T08:22:06.736639875+00:00,0.014895917,,
"1-Wire","reset",2025-09-04T08:22:06.751610667+00:00,0.015001208,,
"1-Wire","reset",2025-09-04T08:22:06.766686833+00:00,0.014903375,,
"1-Wire","reset",2025-09-04T08:22:06.781665167+00:00,0.014920292,,
"1-Wire","reset",2025-09-04T08:22:06.796669833+00:00,0.01488925,,
"1-Wire","reset",2025-09-04T08:22:06.811643500+00:00,0.014939417,,
"1-Wire","reset",2025-09-04T08:22:06.826667333+00:00,0.01492,,
"1-Wire","reset",2025-09-04T08:22:06.841662458+00:00,0.014904917,,
"1-Wire","reset",2025-09-04T08:22:06.856651750+00:00,0.014939333,,
"1-Wire","reset",2025-09-04T08:22:06.871685042+00:00,0.01495825,,
"1-Wire","reset",2025-09-04T08:22:06.886718208+00:00,0.014798583,,
"1-Wire","reset",2025-09-04T08:22:06.901591250+00:00,0.014981792,,
"1-Wire","reset",2025-09-04T08:22:06.916647542+00:00,0.014929042,,
"1-Wire","reset",2025-09-04T08:22:06.931669667+00:00,0.014953792,,
"1-Wire","reset",2025-09-04T08:22:06.946660250+00:00,0.014846,,
"1-Wire","reset",2025-09-04T08:22:06.961571750+00:00,0.015020542,,
"1-Wire","reset",2025-09-04T08:22:06.976629250+00:00,0.014864667,,
"1-Wire","reset",2025-09-04T08:22:06.991578292+00:00,0.014984083,,
"1-Wire","reset",2025-09-04T08:22:07.006646792+00:00,0.0148285,,
"1-Wire","reset",2025-09-04T08:22:07.021540208+00:00,0.015033875,,
"1-Wire","reset",2025-09-04T08:22:07.036658333+00:00,0.014910375,,
"1-Wire","reset",2025-09-04T08:22:07.051633417+00:00,0.014866,,
"1-Wire","reset",2025-09-04T08:22:07.066583083+00:00,0.014983125,,
"1-Wire","reset",2025-09-04T08:22:07.081640333+00:00,0.014944792,,
"1-Wire","reset",2025-09-04T08:22:07.096650292+00:00,0.014917333,,
"1-Wire","reset",2025-09-04T08:22:07.111623542+00:00,0.014911083,,
"1-Wire","reset",2025-09-04T08:22:07.126590583+00:00,0.015022792,,
"1-Wire","reset",2025-09-04T08:22:07.141669375+00:00,0.0148765,,
"1-Wire","reset",2025-09-04T08:22:07.156592333+00:00,0.015027208,,
"1-Wire","reset",2025-09-04T08:22:07.171675542+00:00,0.014875042,,
"1-Wire","reset",2025-09-04T08:22:07.186635000+00:00,0.013706958,,
"1-Wire","reset",2025-09-04T08:22:07.200425667+00:00,0.016115292,,
"1-Wire","reset",2025-09-04T08:22:07.216634375+00:00,0.014908667,,
"1-Wire","reset",2025-09-04T08:22:07.231598958+00:00,0.014971792,,
"1-Wire","reset",2025-09-04T08:22:07.246626708+00:00,0.014939917,,
"1-Wire","reset",2025-09-04T08:22:07.261603542+00:00,0.014918333,,
"1-Wire","reset",2025-09-04T08:22:07.276596750+00:00,0.015039833,,
"1-Wire","reset",2025-09-04T08:22:07.291702000+00:00,0.014842417,,
"1-Wire","reset",2025-09-04T08:22:07.306609792+00:00,0.014996875,,
"1-Wire","reset",2025-09-04T08:22:07.321700750+00:00,0.0148435,,
"1-Wire","reset",2025-09-04T08:22:07.336619083+00:00,0.014967417,,
"1-Wire","reset",2025-09-04T08:22:07.351670917+00:00,0.01490575,,
"1-Wire","reset",2025-09-04T08:22:07.366651625+00:00,0.014900583,,
"1-Wire","reset",2025-09-04T08:22:07.381636625+00:00,0.0149275,,
"1-Wire","reset",2025-09-04T08:22:07.396648542+00:00,0.014977667,,
"1-Wire","reset",2025-09-04T08:22:07.411691667+00:00,0.01480925,,
"1-Wire","reset",2025-09-04T08:22:07.426565917+00:00,0.0149975,,
"1-Wire","reset",2025-09-04T08:22:07.441647458+00:00,0.014918167,,
"1-Wire","reset",2025-09-04T08:22:07.456630292+00:00,0.014926667,,
"1-Wire","reset",2025-09-04T08:22:07.471612667+00:00,0.014889792,,
"1-Wire","reset",2025-09-04T08:22:07.486548917+00:00,0.014974458,,
"1-Wire","reset",2025-09-04T08:22:07.501579333+00:00,0.014944917,,
"1-Wire","reset",2025-09-04T08:22:07.516580208+00:00,0.014903083,,
"1-Wire","reset",2025-09-04T08:22:07.531558333+00:00,0.015060167,,
"1-Wire","reset",2025-09-04T08:22:07.546693458+00:00,0.014817125,,
"1-Wire","reset",2025-09-04T08:22:07.561585083+00:00,0.014966875,,
"1-Wire","reset",2025-09-04T08:22:07.576636000+00:00,0.014935667,,
"1-Wire","reset",2025-09-04T08:22:07.591655250+00:00,0.014954417,,
"1-Wire","reset",2025-09-04T08:22:07.606674875+00:00,0.014885375,,
"1-Wire","reset",2025-09-04T08:22:07.621616250+00:00,0.01495175,,
"1-Wire","reset",2025-09-04T08:22:07.636614458+00:00,0.014968833,,
"1-Wire","reset",2025-09-04T08:22:07.651629708+00:00,0.014947333,,
"1-Wire","reset",2025-09-04T08:22:07.666613958+00:00,0.0149585,,
"1-Wire","reset",2025-09-04T08:22:07.681618917+00:00,0.014940042,,
"1-Wire","reset",2025-09-04T08:22:07.696624417+00:00,0.014880042,,
"1-Wire","reset",2025-09-04T08:22:07.711560417+00:00,0.014986667,,
"1-Wire","reset",2025-09-04T08:22:07.726603083+00:00,0.014948042,,
"1-Wire","reset",2025-09-04T08:22:07.741597542+00:00,0.01490325,,
"1-Wire","reset",2025-09-04T08:22:07.756575708+00:00,0.014997917,,
"1-Wire","reset",2025-09-04T08:22:07.771648583+00:00,0.014918458,,
"1-Wire","reset",2025-09-04T08:22:07.786651458+00:00,0.014918667,,
"1-Wire","reset",2025-09-04T08:22:07.801664083+00:00,0.014911042,,
"1-Wire","reset",2025-09-04T08:22:07.816650042+00:00,0.014875042,,
"1-Wire","reset",2025-09-04T08:22:07.831609667+00:00,0.01502575,,
