name,type,start_time,duration
"1-Wire","reset",2025-09-03T09:33:45.094542750+00:00,0.015011375
"1-Wire","reset",2025-09-03T09:33:45.109598667+00:00,0.015031417
"1-Wire","reset",2025-09-03T09:33:45.124693667+00:00,0.014971208
"1-Wire","reset",2025-09-03T09:33:45.139709500+00:00,0.014944542
"1-Wire","reset",2025-09-03T09:33:45.154708083+00:00,0.014920583
"1-Wire","reset",2025-09-03T09:33:45.169682375+00:00,0.014754667
"1-Wire","reset",2025-09-03T09:33:45.184490542+00:00,0.015134792
"1-Wire","reset",2025-09-03T09:33:45.199679000+00:00,0.015028375
"1-Wire","reset",2025-09-03T09:33:45.214760750+00:00,0.014888917
"1-Wire","reset",2025-09-03T09:33:45.229703042+00:00,0.014908042
"1-Wire","reset",2025-09-03T09:33:45.244664500+00:00,0.01502475
"1-Wire","reset",2025-09-03T09:33:45.259743042+00:00,0.014905375
"1-Wire","reset",2025-09-03T09:33:45.274664542+00:00,0.014994042
"1-Wire","reset",2025-09-03T09:33:45.289693708+00:00,0.014976292
"1-Wire","reset",2025-09-03T09:33:45.304695667+00:00,0.014964667
"1-Wire","reset",2025-09-03T09:33:45.319685958+00:00,0.015012917
"1-Wire","reset",2025-09-03T09:33:45.334724500+00:00,0.01495475
"1-Wire","reset",2025-09-03T09:33:45.349714417+00:00,0.014874958
"1-Wire","reset",2025-09-03T09:33:45.364652875+00:00,0.015022583
"1-Wire","reset",2025-09-03T09:33:45.379739000+00:00,0.014976167
"1-Wire","reset",2025-09-03T09:33:45.394788167+00:00,0.014900375
"1-Wire","reset",2025-09-03T09:33:45.409752292+00:00,0.014944292
"1-Wire","reset",2025-09-03T09:33:45.424750625+00:00,0.0149065
"1-Wire","reset",2025-09-03T09:33:45.439730208+00:00,0.014942208
"1-Wire","reset",2025-09-03T09:33:45.454717000+00:00,0.0150045
"1-Wire","reset",2025-09-03T09:33:45.469784625+00:00,0.014866917
"1-Wire","reset",2025-09-03T09:33:45.484724208+00:00,0.014949958
"1-Wire","reset",2025-09-03T09:33:45.499737042+00:00,0.014858208
"1-Wire","reset",2025-09-03T09:33:45.514648625+00:00,0.014965125
"1-Wire","reset",2025-09-03T09:33:45.529676958+00:00,0.014936333
"1-Wire","reset",2025-09-03T09:33:45.544667292+00:00,0.014939667
"1-Wire","reset",2025-09-03T09:33:45.559661250+00:00,0.015065833
"1-Wire","reset",2025-09-03T09:33:45.574771583+00:00,0.014850083
"1-Wire","reset",2025-09-03T09:33:45.589675667+00:00,0.015030292
"1-Wire","reset",2025-09-03T09:33:45.604750458+00:00,0.014877917
"1-Wire","reset",2025-09-03T09:33:45.619692000+00:00,0.014952042
"1-Wire","reset",2025-09-03T09:33:45.634688250+00:00,0.014940958
"1-Wire","reset",2025-09-03T09:33:45.649673375+00:00,0.015015
"1-Wire","reset",2025-09-03T09:33:45.664732333+00:00,0.014979458
"1-Wire","reset",2025-09-03T09:33:45.679737292+00:00,0.014868167
"1-Wire","reset",2025-09-03T09:33:45.694649958+00:00,0.014964458
"1-Wire","reset",2025-09-03T09:33:45.709668417+00:00,0.014875125
"1-Wire","reset",2025-09-03T09:33:45.724597167+00:00,0.01498725
"1-Wire","reset",2025-09-03T09:33:45.739638208+00:00,0.015059375
"1-Wire","reset",2025-09-03T09:33:45.754760708+00:00,0.014903542
"1-Wire","reset",2025-09-03T09:33:45.769708167+00:00,0.014995
"1-Wire","reset",2025-09-03T09:33:45.784747792+00:00,0.014855333
"1-Wire","reset",2025-09-03T09:33:45.799657167+00:00,0.015025958
"1-Wire","reset",2025-09-03T09:33:45.814737208+00:00,0.01493825
"1-Wire","reset",2025-09-03T09:33:45.829720042+00:00,0.014931542
"1-Wire","reset",2025-09-03T09:33:45.844696125+00:00,0.014980917
"1-Wire","reset",2025-09-03T09:33:45.859731083+00:00,0.014921708
"1-Wire","reset",2025-09-03T09:33:45.874725875+00:00,0.014923125
"1-Wire","reset",2025-09-03T09:33:45.889712542+00:00,0.014952875
"1-Wire","reset",2025-09-03T09:33:45.904738667+00:00,0.014841292
"1-Wire","reset",2025-09-03T09:33:45.919652958+00:00,0.014877083
"1-Wire","reset",2025-09-03T09:33:45.934574542+00:00,0.014884667
"1-Wire","reset",2025-09-03T09:33:45.949522125+00:00,0.014905667
"1-Wire","reset",2025-09-03T09:33:45.964490667+00:00,0.014874458
"1-Wire","reset",2025-09-03T09:33:45.979400125+00:00,0.014852167
"1-Wire","reset",2025-09-03T09:33:45.994277792+00:00,0.014958417
"1-Wire","reset",2025-09-03T09:33:46.009271250+00:00,0.014921333
"1-Wire","reset",2025-09-03T09:33:46.024236958+00:00,0.014887542
"1-Wire","reset",2025-09-03T09:33:46.039187500+00:00,0.0149175
"1-Wire","reset",2025-09-03T09:33:46.054158500+00:00,0.014906
"1-Wire","reset",2025-09-03T09:33:46.069090000+00:00,0.014951042
"1-Wire","reset",2025-09-03T09:33:46.084066542+00:00,0.014909917
"1-Wire","reset",2025-09-03T09:33:46.099001958+00:00,0.014995167
"1-Wire","reset",2025-09-03T09:33:46.114022667+00:00,0.014831125
"1-Wire","reset",2025-09-03T09:33:46.128879292+00:00,0.014956333
"1-Wire","reset",2025-09-03T09:33:46.143870583+00:00,0.014900625
"1-Wire","reset",2025-09-03T09:33:46.158824917+00:00,0.014844
"1-Wire","reset",2025-09-03T09:33:46.173732000+00:00,0.014914
"1-Wire","reset",2025-09-03T09:33:46.188699917+00:00,0.014925375
"1-Wire","reset",2025-09-03T09:33:46.203679000+00:00,0.014934208
"1-Wire","reset",2025-09-03T09:33:46.218676458+00:00,0.01479
"1-Wire","reset",2025-09-03T09:33:46.233510792+00:00,0.01494325
"1-Wire","reset",2025-09-03T09:33:46.248526833+00:00,0.0148765
"1-Wire","reset",2025-09-03T09:33:46.263466667+00:00,0.014885667
"1-Wire","reset",2025-09-03T09:33:46.278396375+00:00,0.014895375
"1-Wire","reset",2025-09-03T09:33:46.293335750+00:00,0.014930958
"1-Wire","reset",2025-09-03T09:33:46.308292250+00:00,0.014931792
"1-Wire","reset",2025-09-03T09:33:46.323240125+00:00,0.01488675
"1-Wire","reset",2025-09-03T09:33:46.338171250+00:00,0.014969833
"1-Wire","reset",2025-09-03T09:33:46.353194958+00:00,0.014798083
"1-Wire","reset",2025-09-03T09:33:46.368056125+00:00,0.014943958
"1-Wire","reset",2025-09-03T09:33:46.383063042+00:00,0.014865542
"1-Wire","reset",2025-09-03T09:33:46.397954083+00:00,0.014961292
"1-Wire","reset",2025-09-03T09:33:46.412940917+00:00,0.014908208
"1-Wire","reset",2025-09-03T09:33:46.427865208+00:00,0.014950208
"1-Wire","reset",2025-09-03T09:33:46.442850375+00:00,0.014918583
"1-Wire","reset",2025-09-03T09:33:46.457794500+00:00,0.014920583
"1-Wire","reset",2025-09-03T09:33:46.472731167+00:00,0.014936833
"1-Wire","reset",2025-09-03T09:33:46.487693542+00:00,0.014947042
"1-Wire","reset",2025-09-03T09:33:46.502666125+00:00,0.014916875
"1-Wire","reset",2025-09-03T09:33:46.517617958+00:00,0.014889625
"1-Wire","reset",2025-09-03T09:33:46.532552042+00:00,0.014926583
"1-Wire","reset",2025-09-03T09:33:46.547504167+00:00,0.014898042
"1-Wire","reset",2025-09-03T09:33:46.562456083+00:00,0.014881583
"1-Wire","reset",2025-09-03T09:33:46.577400958+00:00,0.014919042
"1-Wire","reset",2025-09-03T09:33:46.592373792+00:00,0.014947917
"1-Wire","reset",2025-09-03T09:33:46.607385000+00:00,0.014848792
"1-Wire","reset",2025-09-03T09:33:46.622287625+00:00,0.014889875
"1-Wire","reset",2025-09-03T09:33:46.637240792+00:00,0.014868417
"1-Wire","reset",2025-09-03T09:33:46.652163042+00:00,0.014879458
"1-Wire","reset",2025-09-03T09:33:46.667105458+00:00,0.01493725
"1-Wire","reset",2025-09-03T09:33:46.682086917+00:00,0.014925333
"1-Wire","reset",2025-09-03T09:33:46.697047250+00:00,0.014906292
"1-Wire","reset",2025-09-03T09:33:46.712016833+00:00,0.01490675
"1-Wire","reset",2025-09-03T09:33:46.726986875+00:00,0.014848375
"1-Wire","reset",2025-09-03T09:33:46.741898542+00:00,0.014889042
"1-Wire","reset",2025-09-03T09:33:46.756831917+00:00,0.014903167
"1-Wire","reset",2025-09-03T09:33:46.771788917+00:00,0.01488625
"1-Wire","reset",2025-09-03T09:33:46.786729000+00:00,0.014887833
"1-Wire","reset",2025-09-03T09:33:46.801680167+00:00,0.0148955
"1-Wire","reset",2025-09-03T09:33:46.816629542+00:00,0.014900917
"1-Wire","reset",2025-09-03T09:33:46.831593792+00:00,0.01489175
"1-Wire","reset",2025-09-03T09:33:46.846549042+00:00,0.014864167
"1-Wire","reset",2025-09-03T09:33:46.861457583+00:00,0.014915292
"1-Wire","reset",2025-09-03T09:33:46.876426708+00:00,0.014875208
"1-Wire","reset",2025-09-03T09:33:46.891374708+00:00,0.014877792
"1-Wire","reset",2025-09-03T09:33:46.906306333+00:00,0.014871792
"1-Wire","reset",2025-09-03T09:33:46.921241417+00:00,0.014942417
"1-Wire","reset",2025-09-03T09:33:46.936247125+00:00,0.014891917
"1-Wire","reset",2025-09-03T09:33:46.951192875+00:00,0.014887833
"1-Wire","reset",2025-09-03T09:33:46.966144000+00:00,0.014882208
"1-Wire","reset",2025-09-03T09:33:46.981099000+00:00,0.014828125
"1-Wire","reset",2025-09-03T09:33:46.995981167+00:00,0.0149015
"1-Wire","reset",2025-09-03T09:33:47.010936500+00:00,0.014951292
"1-Wire","reset",2025-09-03T09:33:47.025941667+00:00,0.014879208
"1-Wire","reset",2025-09-03T09:33:47.040884208+00:00,0.014878583
"1-Wire","reset",2025-09-03T09:33:47.055826167+00:00,0.014894583
"1-Wire","reset",2025-09-03T09:33:47.070774625+00:00,0.014849375
"1-Wire","reset",2025-09-03T09:33:47.085677875+00:00,0.014952417
"1-Wire","reset",2025-09-03T09:33:47.100693583+00:00,0.014885333
"1-Wire","reset",2025-09-03T09:33:47.115623333+00:00,0.01485625
"1-Wire","reset",2025-09-03T09:33:47.130533458+00:00,0.014927
"1-Wire","reset",2025-09-03T09:33:47.145514083+00:00,0.014871833
"1-Wire","reset",2025-09-03T09:33:47.160429958+00:00,0.014924333
"1-Wire","reset",2025-09-03T09:33:47.175426750+00:00,0.014876458
"1-Wire","reset",2025-09-03T09:33:47.190328750+00:00,0.014901458
"1-Wire","reset",2025-09-03T09:33:47.205284083+00:00,0.014924167
"1-Wire","reset",2025-09-03T09:33:47.220262125+00:00,0.014895208
"1-Wire","reset",2025-09-03T09:33:47.235211208+00:00,0.014936542
"1-Wire","reset",2025-09-03T09:33:47.250201583+00:00,0.014850625
"1-Wire","reset",2025-09-03T09:33:47.265096625+00:00,0.014920833
"1-Wire","reset",2025-09-03T09:33:47.280061833+00:00,0.014929667
"1-Wire","reset",2025-09-03T09:33:47.295054875+00:00,0.014834625
"1-Wire","reset",2025-09-03T09:33:47.309962500+00:00,0.01488825
"1-Wire","reset",2025-09-03T09:33:47.324904625+00:00,0.014852958
"1-Wire","reset",2025-09-03T09:33:47.339811000+00:00,0.014890833
"1-Wire","reset",2025-09-03T09:33:47.354764792+00:00,0.014909583
"1-Wire","reset",2025-09-03T09:33:47.369727875+00:00,0.019309875
"1-Wire","reset",2025-09-03T09:33:47.389072750+00:00,0.015367375
"1-Wire","reset",2025-09-03T09:33:47.404475208+00:00,0.015028208
"1-Wire","reset",2025-09-03T09:33:47.419538500+00:00,0.015061417
"1-Wire","reset",2025-09-03T09:33:47.434625500+00:00,0.015038833
"1-Wire","reset",2025-09-03T09:33:47.449699458+00:00,0.014917458
"1-Wire","reset",2025-09-03T09:33:47.464633042+00:00,0.01505925
"1-Wire","reset",2025-09-03T09:33:47.479727417+00:00,0.014879875
"1-Wire","reset",2025-09-03T09:33:47.494623375+00:00,0.014974833
"1-Wire","reset",2025-09-03T09:33:47.509633333+00:00,0.014999917
"1-Wire","reset",2025-09-03T09:33:47.524658917+00:00,0.014897125
"1-Wire","reset",2025-09-03T09:33:47.539591125+00:00,0.015029458
"1-Wire","reset",2025-09-03T09:33:47.554655750+00:00,0.014982375
"1-Wire","reset",2025-09-03T09:33:47.569663708+00:00,0.014966958
"1-Wire","reset",2025-09-03T09:33:47.584665833+00:00,0.014926292
"1-Wire","reset",2025-09-03T09:33:47.599617750+00:00,0.014993667
"1-Wire","reset",2025-09-03T09:33:47.614646583+00:00,0.015021292
"1-Wire","reset",2025-09-03T09:33:47.629703000+00:00,0.014863708
"1-Wire","reset",2025-09-03T09:33:47.644582792+00:00,0.01505075
"1-Wire","reset",2025-09-03T09:33:47.659668667+00:00,0.014914
"1-Wire","reset",2025-09-03T09:33:47.674608250+00:00,0.015007917
"1-Wire","reset",2025-09-03T09:33:47.689651292+00:00,0.014956917
"1-Wire","reset",2025-09-03T09:33:47.704633833+00:00,0.014992292
"1-Wire","reset",2025-09-03T09:33:47.719651792+00:00,0.01495225
"1-Wire","reset",2025-09-03T09:33:47.734629708+00:00,0.014982917
"1-Wire","reset",2025-09-03T09:33:47.749638292+00:00,0.014926917
"1-Wire","reset",2025-09-03T09:33:47.764619208+00:00,0.015028167
"1-Wire","reset",2025-09-03T09:33:47.779691875+00:00,0.014928333
"1-Wire","reset",2025-09-03T09:33:47.794693333+00:00,0.014945625
"1-Wire","reset",2025-09-03T09:33:47.809712000+00:00,0.014934542
"1-Wire","reset",2025-09-03T09:33:47.824700542+00:00,0.014894667
"1-Wire","reset",2025-09-03T09:33:47.839648917+00:00,0.014729958
"1-Wire","reset",2025-09-03T09:33:47.854441833+00:00,0.015175833
"1-Wire","reset",2025-09-03T09:33:47.869680875+00:00,0.014944458
"1-Wire","reset",2025-09-03T09:33:47.884688167+00:00,0.014863083
"1-Wire","reset",2025-09-03T09:33:47.899614125+00:00,0.014954208
"1-Wire","reset",2025-09-03T09:33:47.914621708+00:00,0.014985333
"1-Wire","reset",2025-09-03T09:33:47.929632708+00:00,0.015097792
"1-Wire","reset",2025-09-03T09:33:47.944756125+00:00,0.0148375
"1-Wire","reset",2025-09-03T09:33:47.959619208+00:00,0.014931458
"1-Wire","reset",2025-09-03T09:33:47.974566792+00:00,0.014999333
"1-Wire","reset",2025-09-03T09:33:47.989591708+00:00,0.015021167
"1-Wire","reset",2025-09-03T09:33:48.004648042+00:00,0.014980083
"1-Wire","reset",2025-09-03T09:33:48.019644250+00:00,0.014919
"1-Wire","reset",2025-09-03T09:33:48.034598333+00:00,0.015020083
"1-Wire","reset",2025-09-03T09:33:48.049653542+00:00,0.014897708
"1-Wire","reset",2025-09-03T09:33:48.064567333+00:00,0.015005208
"1-Wire","reset",2025-09-03T09:33:48.079607625+00:00,0.014986208
"1-Wire","reset",2025-09-03T09:33:48.094619417+00:00,0.014989958
"1-Wire","reset",2025-09-03T09:33:48.109635042+00:00,0.014889042
"1-Wire","reset",2025-09-03T09:33:48.124549708+00:00,0.014962958
"1-Wire","reset",2025-09-03T09:33:48.139557292+00:00,0.014907625
"1-Wire","reset",2025-09-03T09:33:48.154490417+00:00,0.014895625
"1-Wire","reset",2025-09-03T09:33:48.169402083+00:00,0.015005375
"1-Wire","reset",2025-09-03T09:33:48.184433000+00:00,0.014865667
"1-Wire","reset",2025-09-03T09:33:48.199333625+00:00,0.014894917
"1-Wire","reset",2025-09-03T09:33:48.214244625+00:00,0.014906417
"1-Wire","reset",2025-09-03T09:33:48.229176583+00:00,0.014910958
"1-Wire","reset",2025-09-03T09:33:48.244141417+00:00,0.014894667
"1-Wire","reset",2025-09-03T09:33:48.259099125+00:00,0.014937625
"1-Wire","reset",2025-09-03T09:33:48.274080833+00:00,0.014864042
"1-Wire","reset",2025-09-03T09:33:48.288979833+00:00,0.014887417
"1-Wire","reset",2025-09-03T09:33:48.303902167+00:00,0.014935625
"1-Wire","reset",2025-09-03T09:33:48.318872750+00:00,0.014937375
"1-Wire","reset",2025-09-03T09:33:48.333826167+00:00,0.01496525
"1-Wire","reset",2025-09-03T09:33:48.348816917+00:00,0.01490775
"1-Wire","reset",2025-09-03T09:33:48.363759583+00:00,0.0148875
"1-Wire","reset",2025-09-03T09:33:48.378700792+00:00,0.014916042
"1-Wire","reset",2025-09-03T09:33:48.393689625+00:00,0.014856792
"1-Wire","reset",2025-09-03T09:33:48.408600292+00:00,0.014933167
"1-Wire","reset",2025-09-03T09:33:48.423606250+00:00,0.014844917
"1-Wire","reset",2025-09-03T09:33:48.438514542+00:00,0.014916958
"1-Wire","reset",2025-09-03T09:33:48.453494833+00:00,0.014868125
"1-Wire","reset",2025-09-03T09:33:48.468416875+00:00,0.0148875
"1-Wire","reset",2025-09-03T09:33:48.483367417+00:00,0.014910458
"1-Wire","reset",2025-09-03T09:33:48.498340833+00:00,0.01488875
"1-Wire","reset",2025-09-03T09:33:48.513255125+00:00,0.014919583
"1-Wire","reset",2025-09-03T09:33:48.528200250+00:00,0.014938333
"1-Wire","reset",2025-09-03T09:33:48.543164125+00:00,0.014937708
"1-Wire","reset",2025-09-03T09:33:48.558155708+00:00,0.014901875
"1-Wire","reset",2025-09-03T09:33:48.573111458+00:00,0.014887833
"1-Wire","reset",2025-09-03T09:33:48.588062792+00:00,0.014897042
"1-Wire","reset",2025-09-03T09:33:48.603013708+00:00,0.0148465
"1-Wire","reset",2025-09-03T09:33:48.617913708+00:00,0.014946375
"1-Wire","reset",2025-09-03T09:33:48.632923042+00:00,0.0148705
"1-Wire","reset",2025-09-03T09:33:48.647819083+00:00,0.014943167
"1-Wire","reset",2025-09-03T09:33:48.662797250+00:00,0.014885875
"1-Wire","reset",2025-09-03T09:33:48.677708708+00:00,0.014903958
